municipality_code,municipality,latitude,longitude,area_km2,population_2022,density_2022,estimated_population_2022,enrollments_total,hospitals,beds,schools_total,gdp_per_capita_brl,install_cost_brl,demand_weight,immediate_region_code,immediate_region,intermediate_region_code,intermediate_region
5200050,Abadia de Goiás,-16.785571532362727,-49.45209790788097,143.36,19128.0,133.43,19141.0,3921.0,0.0,0.0,9.0,21177.21,1601748.42,0.0027106941902460074,520001,Goiânia,5201,Goiânia
5200100,Abadiânia,-16.186546076876066,-48.71349393628411,1044.56,17232.0,16.5,15498.0,3561.0,0.0,9.0,12.0,35121.44,1820332.65,0.0024420055565829778,520002,Anápolis,5201,Goiânia
5200134,Acreúna,-17.45232812822999,-50.32603315351892,1566.74,21568.0,13.77,20506.0,4442.0,3.0,72.0,15.0,71042.77,1977290.43,0.0030564749213313406,520015,Palmeiras de Goiás,5204,São Luís de Montes Belos - Iporá
5200159,Adelândia,-16.369115111021383,-50.18463547546117,115.39,2297.0,19.91,2393.0,403.0,0.0,0.0,3.0,22425.41,1125066.12,0.00032551571282910284,520003,Inhumas - Itaberaí - Anicuns,5201,Goiânia
5200308,Alexânia,-16.089161807112404,-48.48185700472964,846.88,27008.0,31.89,28690.0,6151.0,1.0,34.0,26.0,52070.58,1936337.7,0.0038273958955543793,520002,Anápolis,5201,Goiânia
5200506,Aloândia,-17.69382134150893,-49.46545316690718,102.09,1973.0,19.33,1891.0,329.0,1.0,14.0,2.0,41618.72,1140637.4,0.0002796005665702307,520007,Itumbiara,5202,Itumbiara
5200555,Alto Horizonte,-14.171078989483771,-49.42888296908242,500.34,6072.0,12.14,6061.0,1632.0,1.0,24.0,5.0,121647.91,1643406.48,0.000860483852110715,520017,Uruaçu - Niquelândia,5205,Porangatu - Uruaçu
5200605,Alto Paraíso de Goiás,-14.183031950623663,-47.535133153020205,2595.0,10306.0,3.97,10414.0,2461.0,1.0,12.0,13.0,38679.18,1805977.76,0.001460498448592396,520022,Flores de Goiás,5206,Luziânia - Águas Lindas de Goiás
5200803,Alvorada do Norte,-14.567164949084543,-46.63253598131732,1268.35,8446.0,6.66,8412.0,2016.0,1.0,32.0,11.0,24885.28,1650218.03,0.001196911497847019,520021,Posse-Campos Belos,5206,Luziânia - Águas Lindas de Goiás
5200829,Amaralina,-13.842360838678731,-49.61542455588412,1343.74,3268.0,2.43,3796.0,578.0,0.0,0.0,6.0,29082.72,1464341.75,0.00046311943819134005,520017,Uruaçu - Niquelândia,5205,Porangatu - Uruaçu
5200852,Americano do Brasil,-16.261010811689257,-50.00008389568019,133.83,5259.0,39.29,4937.0,908.0,1.0,17.0,4.0,19797.04,1307438.49,0.000745270846220397,520003,Inhumas - Itaberaí - Anicuns,5201,Goiânia
5200902,Amorinópolis,-16.625914297694877,-51.10862984081702,406.93,3007.0,7.39,2982.0,502.0,1.0,13.0,4.0,43624.08,1370244.61,0.0004261322370383597,520014,Iporá,5204,São Luís de Montes Belos - Iporá
5201207,Anhanguera,-18.312361981235046,-48.2253793505133,55.57,924.0,16.63,927.0,195.0,0.0,0.0,3.0,24851.13,867050.04,0.00013094319488641314,520004,Catalão,5201,Goiânia
5201306,Anicuns,-16.397063199888496,-49.96785753682238,976.04,18503.0,18.96,19762.0,3384.0,1.0,20.0,15.0,36895.71,1834073.62,0.0026221233062589857,520003,Inhumas - Itaberaí - Anicuns,5201,Goiânia
5201108,Anápolis,-16.290579769200747,-48.97288603790168,935.67,398869.0,426.29,393417.0,85171.0,18.0,1074.0,231.0,49294.23,2526867.23,0.05652508788003109,520002,Anápolis,5201,Goiânia
5201405,Aparecida de Goiânia,-16.809987396078782,-49.26248205845925,279.95,527796.0,1885.3,500760.0,106742.0,13.0,1250.0,225.0,38337.28,2446591.34,0.07479577325570272,520001,Goiânia,5201,Goiânia
5201454,Aparecida do Rio Doce,-18.21610725317815,-51.2629393323326,603.25,2907.0,4.82,2918.0,770.0,0.0,0.0,3.0,45883.48,1405892.14,0.0004119608956004362,520010,Rio Verde,5203,Rio Verde
5201504,Aporé,-18.76838396263799,-52.04519058545388,2899.24,4325.0,1.49,4067.0,1120.0,1.0,18.0,4.0,141268.5,1754262.72,0.0006129105171901914,520011,Jataí-Mineiros,5203,Rio Verde
5201702,Aragarças,-15.969411911451642,-52.146095344244685,661.68,18390.0,27.79,18096.0,3455.0,1.0,33.0,15.0,17499.5,1722231.23,0.002606109690434132,520014,Iporá,5204,São Luís de Montes Belos - Iporá
5201801,Aragoiânia,-16.951470081458698,-49.41874407462652,218.13,11890.0,54.51,11614.0,2276.0,1.0,7.0,8.0,18544.26,1525707.08,0.0016849724969691044,520001,Goiânia,5201,Goiânia
5202155,Araguapaz,-15.13941591906814,-50.43954306652638,2188.1,7153.0,3.27,6986.0,1412.0,1.0,10.0,8.0,31603.78,1690211.54,0.0010136760530546681,520005,Goiás - Itapuranga,5201,Goiânia
5201603,Araçu,-16.365949046992675,-49.70082486045183,149.78,3799.0,25.36,3859.0,605.0,1.0,17.0,2.0,20717.03,1251921.23,0.0005383692612267138,520003,Inhumas - Itaberaí - Anicuns,5201,Goiânia
5202353,Arenópolis,-16.353192131759567,-51.5852268978634,1075.54,2946.0,2.74,2964.0,645.0,1.0,14.0,5.0,82441.63,1522018.46,0.00041748771876122634,520014,Iporá,5204,São Luís de Montes Belos - Iporá
5202502,Aruanã,-14.805968958023666,-50.93765266658284,3054.77,8300.0,2.72,8139.0,1817.0,1.0,15.0,6.0,43438.87,1785992.43,0.0011762213393476505,520005,Goiás - Itapuranga,5201,Goiânia
5202601,Aurilândia,-16.695269709360243,-50.52530025899115,565.51,3284.0,5.81,3390.0,431.0,0.0,0.0,2.0,26111.21,1371099.33,0.0004653868528214078,520013,São Luís de Montes Belos,5204,São Luís de Montes Belos - Iporá
5202809,Avelinópolis,-16.49286921955709,-49.766783926794666,170.23,2868.0,16.85,2470.0,560.0,1.0,12.0,2.0,35060.73,1254464.8,0.00040643407243964603,520003,Inhumas - Itaberaí - Anicuns,5201,Goiânia
