seed,point_idx,is_compromise,f1_avg_distance_km,f2_uncovered_80km_pct,f3_p95_distance_km,coverage_80km_pct,total_cost_brl,budget_slack_brl,tempo_s,facilities
42,0,0,41.073129,11.113393,98.630188,88.886607,19725902.87,1213225.82,10.19,9;16;61;82;88;94;103;171;173;176;218;243
42,1,0,47.877057,9.863112,99.338756,90.136888,20470575.79,468552.9,10.19,13;16;79;88;120;158;163;176;180;227;229;243
42,2,0,51.230753,9.211259,98.630188,90.788741,20599457.09,339671.6,10.19,10;47;61;120;143;161;176;186;195;231;236;243
42,3,0,56.636595,10.503685,92.848076,89.496315,19677744.0,1261384.69,10.19,16;47;61;97;143;176;177;186;195;236;238;243
42,4,0,45.739435,10.919869,99.992197,89.080131,20106567.38,832561.31,10.19,16;24;35;61;74;77;78;84;159;210;234;243
42,5,0,41.143805,8.572046,102.40358,91.427954,20080703.31,858425.38,10.19,5;24;32;61;74;94;97;113;176;200;236;243
42,6,0,45.839682,10.397669,98.882865,89.602331,19652612.25,1286516.44,10.19,12;16;47;71;84;128;146;163;186;208;234;243
42,7,0,51.230753,9.211259,98.630188,90.788741,20599457.09,339671.6,10.19,10;47;61;120;143;161;176;186;195;231;236;243
42,8,0,42.121996,12.045158,96.826454,87.954842,20401365.22,537763.47,10.19,9;16;61;82;88;94;103;176;218;229;240;243
42,9,0,40.112096,11.373281,99.854094,88.626719,20753026.6,186102.09,10.19,61;74;82;94;113;176;200;229;233;243;244;245
42,10,0,41.143805,8.572046,102.40358,91.427954,20080703.31,858425.38,10.19,5;24;32;61;74;94;97;113;176;200;236;243
42,11,0,39.441408,11.931207,101.034992,88.068793,19751986.95,1187141.74,10.19,6;16;36;94;103;127;163;222;227;234;236;243
42,12,0,50.69164,12.885576,95.985693,87.114424,20359577.56,579551.13,10.19,10;43;47;61;133;143;161;176;186;195;236;243
42,13,0,51.230753,9.211259,98.630188,90.788741,20599457.09,339671.6,10.19,10;47;61;120;143;161;176;186;195;231;236;243
42,14,0,45.839682,10.397669,98.882865,89.602331,19652612.25,1286516.44,10.19,12;16;47;71;84;128;146;163;186;208;234;243
42,15,0,50.935342,9.612265,98.630188,90.387735,20675322.2,263806.49,10.19,47;61;120;143;161;176;186;195;197;231;236;243
42,16,0,48.516349,9.668894,99.271331,90.331106,19653264.39,1285864.3,10.19,0;5;32;38;61;97;113;143;176;200;236;243
42,17,1,40.094197,10.073117,100.036596,89.926883,20590281.9,348846.79,10.19,6;16;36;75;94;103;127;146;158;163;236;243
42,18,0,40.137317,9.33316,107.363809,90.66684,20927274.06,11854.63,10.19,5;24;32;61;74;94;103;113;176;194;236;243
42,19,0,42.446541,11.719062,96.826454,88.280938,20498326.54,440802.15,10.19,16;61;82;88;94;103;176;186;218;229;240;243
42,20,0,38.221776,12.130328,100.036596,87.869672,20630422.06,308706.63,10.19,6;16;49;60;75;94;103;127;158;163;236;243
42,21,0,41.719659,11.718141,98.309826,88.281859,20156349.71,782778.98,10.19,9;16;61;63;82;88;94;103;173;176;218;243
42,22,0,45.839682,10.397669,98.882865,89.602331,19652612.25,1286516.44,10.19,12;16;47;71;84;128;146;163;186;208;234;243
123,0,0,40.104734,10.2257,101.305165,89.7743,20628972.44,310156.25,9.87,75;94;100;104;151;176;200;201;209;214;236;243
123,1,0,41.21297,9.426323,97.538056,90.573677,20603902.64,335226.05,9.87,8;39;61;94;100;125;146;176;178;207;230;243
123,2,0,47.40109,8.768518,100.537819,91.231482,19058743.38,1880385.31,9.87,5;82;151;153;176;201;209;214;225;231;236;243
123,3,0,48.083616,8.643994,101.987317,91.356006,20158240.9,780887.79,9.87,47;61;90;143;146;158;176;196;198;207;230;243
123,4,0,40.025681,13.720636,100.565848,86.279364,20639116.6,300012.09,9.87,65;72;75;86;94;100;146;176;200;230;237;241
123,5,0,47.192638,8.201125,104.903969,91.798875,18961102.94,1978025.75,9.87,5;25;136;151;153;176;201;209;214;231;236;243
123,6,0,39.834764,12.425616,120.086964,87.574384,20919059.46,20069.23,9.87,93;94;161;163;173;178;183;192;207;211;236;241
123,7,0,39.866594,14.271717,99.954548,85.728283,20630504.11,308624.58,9.87,25;50;75;86;94;100;146;176;200;230;237;241
123,8,0,54.648431,9.107652,99.501439,90.892348,19754767.74,1184360.95,9.87,5;86;106;136;151;176;200;201;209;214;236;243
123,9,0,40.306014,14.459076,98.589019,85.540924,20329739.88,609388.81,9.87,53;75;86;94;112;146;159;176;200;230;237;241
123,10,0,39.557462,12.546512,118.557575,87.453488,20563996.37,375132.32,9.87,16;47;93;94;161;163;173;178;183;192;213;236
123,11,0,39.190108,14.962258,108.779417,85.037742,20565919.6,373209.09,9.87,16;47;74;94;110;161;163;173;183;192;213;235
123,12,0,39.658546,13.175904,101.305165,86.824096,20871426.4,67702.29,9.87,74;75;86;94;100;146;158;176;200;218;237;241
123,13,0,54.564945,9.256621,99.501439,90.743379,20209974.55,729154.14,9.87,5;106;136;151;176;200;201;209;214;216;236;243
123,14,0,48.083616,8.643994,101.987317,91.356006,20158240.9,780887.79,9.87,47;61;90;143;146;158;176;196;198;207;230;243
123,15,0,54.648431,9.107652,99.501439,90.892348,19754767.74,1184360.95,9.87,5;86;106;136;151;176;200;201;209;214;236;243
123,16,0,40.104734,10.2257,101.305165,89.7743,20628972.44,310156.25,9.87,75;94;100;104;151;176;200;201;209;214;236;243
123,17,0,40.081872,15.932924,97.219727,84.067076,19868121.42,1071007.27,9.87,6;72;75;86;94;100;176;193;200;230;237;241
123,18,0,40.104734,10.2257,101.305165,89.7743,20628972.44,310156.25,9.87,75;94;100;104;151;176;200;201;209;214;236;243
123,19,0,39.557462,12.546512,118.557575,87.453488,20563996.37,375132.32,9.87,16;47;93;94;161;163;173;178;183;192;213;236
123,20,0,42.722212,9.424622,102.40358,90.575378,20243298.69,695830.0,9.87,5;37;61;75;94;136;176;200;201;214;236;243
123,21,1,41.167277,9.743619,93.744153,90.256381,19939795.65,999333.04,9.87,5;37;61;75;86;94;147;176;200;214;236;243
123,22,0,39.618673,15.074141,101.305165,84.925859,20045013.44,894115.25,9.87,46;74;75;94;100;158;159;176;193;200;237;241
456,0,0,48.716318,7.179145,90.108899,92.820855,18652367.37,2286761.32,9.9,5;33;80;88;108;125;165;176;200;213;241;245
456,1,0,43.12986,10.417424,92.65683,89.582576,19531891.75,1407236.94,9.9,71;75;103;147;156;163;173;176;183;200;208;235
456,2,0,42.592327,11.537243,95.14472,88.462757,20108719.14,830409.55,9.9,19;82;103;123;156;163;173;176;200;208;235;241
456,3,0,38.098133,15.441037,117.125584,84.558963,20641823.74,297304.95,9.9,49;94;108;124;151;163;173;192;198;207;219;241
456,4,0,38.57895,10.266145,103.505263,89.733855,19579764.63,1359364.06,9.9,5;9;94;110;161;163;176;207;222;236;241;245
456,5,0,48.716318,7.179145,90.108899,92.820855,18652367.37,2286761.32,9.9,5;33;80;88;108;125;165;176;200;213;241;245
456,6,0,43.12986,10.417424,92.65683,89.582576,19531891.75,1407236.94,9.9,71;75;103;147;156;163;173;176;183;200;208;235
456,7,0,38.745453,11.891584,92.65683,88.108416,20735160.39,203968.3,9.9,58;71;75;94;103;156;163;173;176;200;235;241
456,8,0,46.777777,8.609458,106.074495,91.390542,18604607.65,2334521.04,9.9,5;53;80;144;156;158;165;176;208;213;241;245
456,9,0,38.745453,11.891584,92.65683,88.108416,20735160.39,203968.3,9.9,58;71;75;94;103;156;163;173;176;200;235;241
456,10,0,48.716318,7.179145,90.108899,92.820855,18652367.37,2286761.32,9.9,5;33;80;88;108;125;165;176;200;213;241;245
456,11,0,38.246395,15.479725,113.772671,84.520275,20219450.88,719677.81,9.9,12;49;94;124;151;163;173;192;207;219;221;241
456,12,0,39.267628,10.08213,102.40358,89.91787,19542902.4,1396226.29,9.9,5;9;94;110;161;163;168;176;207;222;236;241
456,13,0,39.198362,11.354603,100.272602,88.645397,18743155.04,2195973.65,9.9,5;53;94;110;161;163;176;205;207;222;236;241
456,14,0,39.198362,11.354603,100.272602,88.645397,18743155.04,2195973.65,9.9,5;53;94;110;161;163;176;205;207;222;236;241
456,15,0,38.57895,10.266145,103.505263,89.733855,19579764.63,1359364.06,9.9,5;9;94;110;161;163;176;207;222;236;241;245
456,16,0,38.745453,11.891584,92.65683,88.108416,20735160.39,203968.3,9.9,58;71;75;94;103;156;163;173;176;200;235;241
456,17,0,48.716318,7.179145,90.108899,92.820855,18652367.37,2286761.32,9.9,5;33;80;88;108;125;165;176;200;213;241;245
456,18,0,43.089734,8.816785,126.810397,91.183215,20417273.81,521854.88,9.9,5;24;94;156;158;165;176;196;200;213;241;245
456,19,0,40.44554,11.577348,99.15451,88.422652,19088669.83,1850458.86,9.9,5;53;77;94;110;163;176;205;207;222;236;241
456,20,0,38.304127,12.767316,108.394223,87.232684,20769563.85,169564.84,9.9,47;49;94;123;156;163;173;176;198;207;219;241
456,21,1,39.988068,9.478927,100.272602,90.521073,19827701.88,1111426.81,9.9,5;94;110;163;164;168;174;176;207;222;236;241
456,22,0,39.267628,10.08213,102.40358,89.91787,19542902.4,1396226.29,9.9,5;9;94;110;161;163;168;176;207;222;236;241
456,23,0,39.198362,11.354603,100.272602,88.645397,18743155.04,2195973.65,9.9,5;53;94;110;161;163;176;205;207;222;236;241
456,24,0,38.304127,12.767316,108.394223,87.232684,20769563.85,169564.84,9.9,47;49;94;123;156;163;173;176;198;207;219;241
456,25,0,39.877609,11.296359,101.987317,88.703641,20205071.75,734056.94,9.9,5;9;91;94;110;139;163;176;207;222;236;241
456,26,0,39.988068,9.478927,100.272602,90.521073,19827701.88,1111426.81,9.9,5;94;110;163;164;168;174;176;207;222;236;241
456,27,0,38.464254,9.897704,108.394223,90.102296,20199517.84,739610.85,9.9,5;94;110;161;163;176;207;222;235;236;241;245
789,0,0,51.673208,16.091842,92.768516,83.908158,18845998.9,2093129.79,9.94,5;22;32;53;73;84;96;107;141;176;218;237
789,1,0,39.623165,11.270255,106.020209,88.729745,20120395.5,818733.19,9.94,41;49;94;101;123;137;176;213;229;236;237;243
789,2,0,48.074891,9.175802,93.906443,90.824198,19875055.62,1064073.07,9.94,47;52;61;69;82;84;89;137;176;236;243;244
789,3,0,38.845121,17.026853,105.775996,82.973147,20528483.21,410645.48,9.94,45;80;84;94;124;155;169;171;173;190;227;237
789,4,0,38.845121,17.026853,105.775996,82.973147,20528483.21,410645.48,9.94,45;80;84;94;124;155;169;171;173;190;227;237
789,5,0,39.961352,11.464785,97.092263,88.535215,20115630.21,823498.48,9.94,16;94;108;116;173;176;180;213;229;236;237;243
789,6,0,48.074891,9.175802,93.906443,90.824198,19875055.62,1064073.07,9.94,47;52;61;69;82;84;89;137;176;236;243;244
789,7,0,46.790946,9.422851,95.351557,90.577149,20693827.56,245301.13,9.94,0;52;61;84;86;92;121;164;176;231;236;245
789,8,0,48.076126,8.555749,96.468769,91.444251,19507464.36,1431664.33,9.94,47;52;61;69;82;84;90;137;176;236;243;244
789,9,0,39.497883,9.617466,110.948478,90.382534,19985666.42,953462.27,9.94,41;49;94;101;123;137;173;176;229;236;237;243
789,10,0,38.845121,17.026853,105.775996,82.973147,20528483.21,410645.48,9.94,45;80;84;94;124;155;169;171;173;190;227;237
789,11,0,39.963862,10.387282,104.984935,89.612718,20505379.95,433748.74,9.94,84;94;100;101;124;137;156;162;173;229;237;243
789,12,0,46.282667,8.180095,97.154735,91.819905,19362912.4,1576216.29,9.94,52;61;86;107;137;141;176;178;208;214;243;244
789,13,0,39.433824,9.63749,111.586067,90.36251,20760158.69,178970.0,9.94,49;52;94;101;137;146;176;213;229;236;237;243
789,14,0,48.074891,9.175802,93.906443,90.824198,19875055.62,1064073.07,9.94,47;52;61;69;82;84;89;137;176;236;243;244
789,15,0,48.076126,8.555749,96.468769,91.444251,19507464.36,1431664.33,9.94,47;52;61;69;82;84;90;137;176;236;243;244
789,16,0,39.961352,11.464785,97.092263,88.535215,20115630.21,823498.48,9.94,16;94;108;116;173;176;180;213;229;236;237;243
789,17,0,39.433824,9.63749,111.586067,90.36251,20760158.69,178970.0,9.94,49;52;94;101;137;146;176;213;229;236;237;243
