metodo,algoritmo,config,seed,pop_size,n_gen,fitness_single,avg_distance_km,coverage_80km_pct,uncovered_80km_pct,p95_distance_km,max_distance_km,total_cost_brl,budget_violation_brl,budget_slack_brl,tempo_s,n_selected,facilities
AG baseline,GA,baseline,42,100,300,39.024037,39.024037,86.426179,13.573821,105.668308,229.482332,20686381.7,0.0,252746.99,4.933802,12,18;36;51;73;74;94;146;176;191;200;237;241
AG baseline,GA,baseline,123,100,300,40.296018,40.296018,83.953252,16.046748,113.255115,186.46672,20050672.89,0.0,888455.8,4.497727,12,3;16;22;35;90;94;103;167;233;234;237;241
AG baseline,GA,baseline,456,100,300,40.073534,40.073534,89.474902,10.525098,104.274789,188.532024,20859582.05,0.0,79546.64,4.603079,12,22;61;94;160;171;173;176;186;194;229;234;243
AG baseline,GA,baseline,789,100,300,39.532722,39.532722,82.526849,17.473151,117.344653,215.366372,20666144.56,0.0,272984.13,4.497634,12,14;16;75;89;92;94;126;156;160;192;205;237
AG baseline,GA,baseline,1011,100,300,39.758796,39.758796,82.531157,17.468843,109.017245,188.514988,20607827.33,0.0,331301.36,4.522005,12,49;57;84;94;162;169;191;205;207;211;237;244
AG single-objective V3,GA,V3_gen500,42,100,500,39.024037,39.024037,86.426179,13.573821,105.668308,229.482332,20686381.7,0.0,252746.99,7.854346,12,18;36;51;73;74;94;146;176;191;200;237;241
AG single-objective V3,GA,V3_gen500,123,100,500,39.829379,39.829379,83.441595,16.558405,110.948478,229.482332,20283250.9,0.0,655877.79,7.528461,12,16;94;137;167;170;173;199;201;227;229;237;241
AG single-objective V3,GA,V3_gen500,456,100,500,40.073534,40.073534,89.474902,10.525098,104.274789,188.532024,20859582.05,0.0,79546.64,7.588798,12,22;61;94;160;171;173;176;186;194;229;234;243
AG single-objective V3,GA,V3_gen500,789,100,500,38.615198,38.615198,84.371334,15.628666,110.699767,199.723211,20613729.3,0.0,325399.39,7.691797,12,80;94;103;108;156;163;187;194;215;227;240;241
AG single-objective V3,GA,V3_gen500,1011,100,500,39.64221,39.64221,83.859692,16.140308,112.742955,213.474922,20898922.44,0.0,40206.25,7.506216,12,49;51;53;67;84;86;94;124;148;156;237;245
NSGA-II compromisso,NSGA-II,nsga2_pop100_gen300,42,100,300,,40.094197,89.926883,10.073117,100.036596,215.366372,20590281.9,0.0,348846.79,7.88497,12,6;16;36;75;94;103;127;146;158;163;236;243
NSGA-II compromisso,NSGA-II,nsga2_pop100_gen300,123,100,300,,41.167277,90.256381,9.743619,93.744153,170.594844,19939795.65,0.0,999333.04,7.727739,12,5;37;61;75;86;94;147;176;200;214;236;243
NSGA-II compromisso,NSGA-II,nsga2_pop100_gen300,456,100,300,,39.988068,90.521073,9.478927,100.272602,229.482332,19827701.88,0.0,1111426.81,8.338137,12,5;94;110;163;164;168;174;176;207;222;236;241
NSGA-II compromisso,NSGA-II,nsga2_pop100_gen300,789,100,300,,40.443877,90.534309,9.465691,93.060415,173.584702,20683927.73,0.0,255200.96,7.890014,12,30;41;94;101;123;137;176;213;229;236;237;243
NSGA-II compromisso,NSGA-II,nsga2_pop100_gen300,1011,100,300,,39.992422,90.781273,9.218727,102.40358,253.284369,20087771.0,0.0,851357.69,7.945998,12,5;10;22;80;94;101;147;187;194;209;236;243
